uuid,FeatureID,FeatureType,FeatureTimestamp,Latitude,Longitude,Northing,Easting,Accuracy,Description,Material,geospatialcolumn
1.00011E+18,2000,Other,2018-04-22 07:44:43+10:00,-33.7181666,150.3106956,6265844.466,250796.003,3,YHA startpoint,,POINT(250796.002961 6265844.465518)
1.00004E+18,4000,Artefact scatter,2018-04-22 10:43:47+10:00,-33.758279,150.2923542,6261350.674,249212.7734,0.9,"two pieces of blue green bottle base, eight-sided, moulded; 1 body piece darkgreen",Glass,POINT(249212.773396 6261350.674002)
1.00005E+18,6000,Masonry,2018-04-22 10:43:53+10:00,-33.75846417,150.291515,6261328.092,249135.5658,0.8,rectangular stone bricks paved and rough line of stone one side a tree is growing through the pavement,Ceramic - Glass - {Brick} - Other,POINT(249135.565842 6261328.091519)
1.00004E+18,4001,Isolated find,2018-04-22 11:08:29+10:00,-33.75825083,150.2922363,6261353.511,249201.7742,0.8,brick with a diamond shaped stamp,Other,POINT(249201.774211 6261353.511379)
1.00009E+18,5000,Masonry,2018-04-22 11:14:23+10:00,-33.7582735,150.292232,6261350.987,249201.4388,0.9,Platform,Stone,POINT(249201.438811 6261350.98661)
1.00004E+18,4002,Metal Feature,2018-04-22 11:17:26+10:00,-33.75826117,150.2922355,6261352.363,249201.7271,0.9,metal stake imbedded in ground,Metal,POINT(249201.727127 6261352.363162)
1.00005E+18,6001,Artefact scatter,2018-04-22 11:18:01+10:00,-33.75867567,150.2921483,6261306.174,249194.8597,0.9,light blue glass in the shape of a bottle top\cork and a cross impression on clear glass,Glass,POINT(249194.85965 6261306.174001)
1.00005E+18,6002,Masonry,2018-04-22 11:22:20+10:00,-33.75804986,150.2923049,6261375.97,249207.5432,3,small vertical depression size of a post hole or tree hole lined with stones in a circle,,POINT(249207.543222 6261375.970317)
1.00009E+18,5001,Isolated find,2018-04-22 11:37:55+10:00,-33.75835533,150.2914988,6261340.124,249133.7507,0.8,green bottle base ,Glass,POINT(249133.750674 6261340.12409)
1.00004E+18,4003,Isolated find,2018-04-22 11:42:57+10:00,-33.75607,150.2902567,6261590.59,249011.9991,0.7,broken brick with diamond indentation,Other,POINT(249011.999107 6261590.590425)
1.00009E+18,5002,Hole drilled in the rock,2018-04-22 11:53:53+10:00,-33.758784,150.2922465,6261294.397,249204.2704,0.7,,Stone,POINT(249204.270409 6261294.396552)
1.00009E+18,5003,Hole drilled in the rock,2018-04-22 11:56:38+10:00,-33.7587045,150.2924258,6261303.651,249220.6535,1,,Stone,POINT(249220.653522 6261303.651452)
1.00009E+18,5004,Masonry,2018-04-22 11:58:27+10:00,-33.75878083,150.2922732,6261294.813,249206.7318,0.7,stone cluster forming rectilinear platform ,Stone,POINT(249206.731788 6261294.812734)
1.00004E+18,4004,Isolated find,2018-04-22 12:03:09+10:00,-33.75880783,150.2921998,6261291.639,249200.0163,0.7,"metal pot, rusted, mould growing, handle - juts out horizontally then curves back to the pot",Metal,POINT(249200.01632 6261291.639294)
1.00005E+18,6004,Other,2018-04-22 12:10:32+10:00,-33.759484,150.2926343,6261217.696,249242.2427,0.9,deep circular depression and wide circle pit or know as costean ,,POINT(249242.242708 6261217.695871)
1.00005E+18,6005,Isolated find,2018-04-22 13:01:41+10:00,-33.76139483,150.295122,6261011.797,249478.2825,0.8,rail track,Metal,POINT(249478.282545 6261011.797452)
1.00005E+18,6006,Isolated find,2018-04-22 13:17:07+10:00,-33.76164883,150.2964877,6260986.945,249605.544,0.8,large artificial depression with built up dirt walls around the hole,,POINT(249605.544045 6260986.944503)
1.00005E+18,6008,Hole drilled in the rock,2018-04-22 13:53:20+10:00,-33.76057983,150.295207,6261102.405,249483.784,0.7,arterial hole in the rock on an angle ,,POINT(249483.783955 6261102.405073)
1.00004E+18,4005,Masonry,2018-04-22 13:54:44+10:00,-33.76060718,150.2951227,6261099.166,249476.0517,16,elevated stone cluster may be perpendicular to the gully,Stone,POINT(249476.051668 6261099.166135)
1.00008E+18,6009,Isolated find,2018-04-22 13:59:45+10:00,-33.76063883,150.295127,6261095.666,249476.5441,0.7,metal with bolts,Metal,POINT(249476.544107 6261095.666127)
1.00005E+18,4006,Masonry,2018-04-22 14:58:44+10:00,-33.75606583,150.2902578,6261591.055,249012.095,0.8,"masonry stone walls rectangular stone feature, platform in front, 3 metres from the trail ",Stone,POINT(249012.095045 6261591.055441)
1.0001E+18,5006,Isolated find,2018-04-23 09:16:43+10:00,-33.75873167,150.2924085,6261300.596,249219.1268,0.9,Piece of thick black dark glass,Glass,POINT(249219.126815 6261300.595885)
1.00004E+18,4007,Artefact scatter,2018-04-23 09:18:55+10:00,-33.75886567,150.2922735,6261285.404,249207.01,0.8,brown glass shard (4007-4008),Glass,POINT(249207.009974 6261285.403715)
1.00004E+18,4008,Artefact scatter,2018-04-23 09:22:23+10:00,-33.7588675,150.2922537,6261285.152,249205.1778,0.7,golden brown glass shard,Glass,POINT(249205.177803 6261285.152067)
1.00005E+18,6010,Masonry,2018-04-23 09:22:46+10:00,-33.75874633,150.2919852,6261297.938,249179.9486,0.7,rectangular artificial made depression with stone circle around and on the walls of the pit,Stone,POINT(249179.948609 6261297.938231)
1.00004E+18,4009,Artefact scatter,2018-04-23 09:27:14+10:00,-33.7589185,150.2922648,6261279.522,249206.361,0.7,clear glass body shard (4009-4010),Glass,POINT(249206.361045 6261279.522266)
1.00004E+18,4010,Artefact scatter,2018-04-23 09:27:49+10:00,-33.75892167,150.2921633,6261278.924,249196.9665,0.9,clear glass body sherd,Glass,POINT(249196.96653 6261278.923866)
1.00005E+18,6011,Artefact scatter,2018-04-23 09:28:08+10:00,-33.75868233,150.2920133,6261305.106,249182.3716,0.9,clear to light green glass scattered,Glass - Metal,POINT(249182.371604 6261305.10579)
1.00005E+18,6012,Artefact scatter,2018-04-23 09:50:01+10:00,-33.75872183,150.2922385,6261301.273,249203.348,0.7,"Brocken clear glass with cross at what appears to be the bottom of the glass bottle or bowl, a second piece was found close by and fits together. has a diameter of 8cm",Glass,POINT(249203.347998 6261301.272685)
1.00004E+18,4011,Artefact scatter,2018-04-23 09:50:05+10:00,-33.758852,150.2921385,6261286.591,249194.4627,0.8,"cloudy glass body, inscription - BR (different type of glass to others from scatter)",,POINT(249194.462677 6261286.590919)
1.00008E+18,5007,Artefact scatter,2018-04-23 09:51:10+10:00,-33.75868633,150.2923365,6261305.449,249212.324,0.8,small shard of glass,Glass,POINT(249212.324012 6261305.449014)
1.00005E+18,6013,Artefact scatter,2018-04-23 09:53:04+10:00,-33.758736,150.2922545,6261299.74,249204.8717,0.7,Brocken green glass,Glass,POINT(249204.871663 6261299.740258)
