MoundID,Condition,Robbed,Height,LandUse
1002,1,0,4,Annual
1010,3,0,2,Annual
1011,2,0,3.5,Pasture
1022,1,0,3,Forest
1024,5,0,1,Annual
1025,4,0,0.69999999999999996,Annual
1042,3,0,2,Pasture
1055,4,0,1.5,Annual
1057,4,0,1,Annual
1063,4,0,0.5,Perennial
1066,4,0,0.59999999999999998,Pasture
1069,2,0,0.5,Pasture
2001,4,0,5,Annual
2004,3,0,2,Pasture
2007,2,0,5,Pasture
2008,2,0,2,Pasture
2016,5,0,0.5,Pasture
2022,2,0,2,Pasture
2028,2,0,5,Annual
2029,2,0,2,Annual
2030,2,0,4,Annual
2033,5,0,1,Annual
2034,5,0,0.29999999999999999,Annual
2047,5,0,0.5,Annual
2050,2,0,2,Pasture
2063,4,0,2,Pasture
2080,4,0,1,Annual
2083,2,0,0.29999999999999999,Pasture
2084,2,0,0.40000000000000002,Pasture
2085,2,0,0.29999999999999999,Pasture
2086,3,0,0.5,Pasture
2091,2,0,0.5,Pasture
2092,2,0,0.40000000000000002,Pasture
2093,2,0,0.29999999999999999,Pasture
2094,2,0,0.29999999999999999,Pasture
2097,2,0,0.80000000000000004,Pasture
2098,3,0,1,Perennial
2099,3,0,1,Annual
2100,4,0,0.5,Annual
2102,3,0,1,Annual
2104,4,0,0.20000000000000001,Annual
2105,2,0,0.5,Pasture
2109,2,0,0.5,Pasture
2110,2,0,0.59999999999999998,Pasture
2115,2,0,0.20000000000000001,Annual
2117,2,0,1,Annual
2120,2,0,0.5,Pasture
2121,2,0,0.29999999999999999,Pasture
2123,2,0,0.29999999999999999,Pasture
2124,2,0,0.59999999999999998,Pasture
2125,2,0,0.20000000000000001,Pasture
2126,2,0,0.29999999999999999,Pasture
2128,2,0,0.20000000000000001,Pasture
2129,2,0,0.40000000000000002,Pasture
2131,2,0,0.29999999999999999,Pasture
2132,2,0,0.20000000000000001,Pasture
2134,2,0,0.69999999999999996,Pasture
2135,2,0,0.5,Pasture
2136,2,0,0.29999999999999999,Pasture
2137,2,0,0.5,Pasture
2139,2,0,0.5,Pasture
2141,2,0,0.40000000000000002,Pasture
2143,2,0,0.5,Pasture
2144,2,0,0.5,Pasture
2146,2,0,0.5,Pasture
2147,2,0,0.5,Pasture
2148,2,0,0.20000000000000001,Pasture
2150,2,0,0.40000000000000002,Pasture
2151,2,0,0.5,Pasture
2152,2,0,0.29999999999999999,Pasture
2153,2,0,0.5,Pasture
2154,2,0,0.5,Pasture
2159,2,0,0.40000000000000002,Pasture
2161,2,0,0.20000000000000001,Pasture
2162,2,0,0.29999999999999999,Pasture
2163,2,0,0.20000000000000001,Pasture
2164,2,0,0.29999999999999999,Pasture
2166,2,0,0.20000000000000001,Pasture
2167,2,0,0.10000000000000001,Pasture
2170,4,0,0.5,Pasture
2171,2,0,0.10000000000000001,Pasture
2172,2,0,0.29999999999999999,Pasture
2173,2,0,0.20000000000000001,Pasture
2174,2,0,0.40000000000000002,Pasture
2175,2,0,0.40000000000000002,Pasture
2176,2,0,0.5,Pasture
2184,2,0,0.5,Pasture
2186,2,0,0.29999999999999999,Pasture
2191,2,0,0.40000000000000002,Pasture
2193,2,0,0.20000000000000001,Pasture
2194,2,0,0.20000000000000001,Pasture
3009,2,0,5,Forest
3015,3,0,1,Pasture
3026,5,0,5,Forest
3046,2,0,5,Forest
3047,2,0,3,Forest
3048,2,0,0.5,Forest
3066,5,0,0.10000000000000001,Annual
3093,2,0,0.40000000000000002,Pasture
3099,4,0,1,Pasture
3110,3,0,1,Pasture
3112,4,0,0.5,Forest
3115,1,0,2,Pasture
3116,1,0,5,Pasture
3117,5,0,1,Annual
3118,2,0,5,Annual
3119,2,0,1,Pasture
3120,4,0,1,Annual
3123,4,0,1,Annual
3125,3,0,2,Annual
3138,5,0,0.20000000000000001,Annual
3139,4,0,1,Pasture
3141,1,0,1,Pasture
3142,2,0,2,Pasture
3149,3,0,1,Perennial
3150,3,0,1,Perennial
3151,3,0,1,Perennial
3152,2,0,1.5,Perennial
3153,4,0,0.5,Perennial
3154,3,0,1,Perennial
3155,4,0,5,Perennial
3156,3,0,1,Perennial
3157,3,0,1,Perennial
3158,4,0,0.5,Perennial
3159,4,0,0.5,Perennial
3160,3,0,1,Perennial
3161,3,0,1.5,Perennial
3162,3,0,0.5,Perennial
3164,3,0,1,Perennial
3165,3,0,2,Perennial
3166,4,0,0.5,Perennial
3167,4,0,1,Perennial
3168,3,0,5,Pasture
3173,3,0,1,Forest
3174,2,0,1.5,Forest
3176,4,0,1.2,Forest
3177,2,0,6,Forest
3178,3,0,1.5,Forest
3182,3,0,2,Forest
3185,4,0,1,Pasture
3187,3,0,0.5,Pasture
3189,3,0,1,Pasture
3190,4,0,0.5,Pasture
3191,4,0,0.59999999999999998,Pasture
3195,3,0,0.59999999999999998,Forest
3196,4,0,0.80000000000000004,Pasture
3197,4,0,0.5,Pasture
3198,3,0,0.5,Pasture
3199,3,0,1,Pasture
3224,2,0,2,Perennial
3250,1,0,4,Annual
3255,2,0,8,Annual
3260,1,0,20,Pasture
3266,5,0,1,Annual
3269,5,0,0.5,Annual
3275,4,0,1,Beach
3277,2,0,0.59999999999999998,Pasture
3278,2,0,0.5,Pasture
3279,4,0,0.29999999999999999,Pasture
3280,2,0,0.29999999999999999,Pasture
3281,2,0,0.5,Pasture
3284,2,0,0.20000000000000001,Pasture
3286,2,0,0.20000000000000001,Pasture
3288,2,0,0.40000000000000002,Pasture
3291,2,0,0.29999999999999999,Pasture
3294,1,0,1,Pasture
3296,1,0,0.29999999999999999,Pasture
3297,2,0,0.29999999999999999,Pasture
3299,2,0,1,Pasture
3302,2,0,0.29999999999999999,Pasture
3303,2,0,0.20000000000000001,Pasture
3304,2,0,0.29999999999999999,Pasture
3305,2,0,0.20000000000000001,Pasture
3307,2,0,0.40000000000000002,Pasture
3309,2,0,0.29999999999999999,Pasture
3310,2,0,0.5,Pasture
3311,2,0,0.5,Pasture
3316,4,0,0.90000000000000002,Pasture
3320,2,0,0.5,Pasture
3325,2,0,0.5,Pasture
3326,2,0,1,Pasture
3327,2,0,0.5,Pasture
3328,2,0,0.69999999999999996,Pasture
3329,2,0,0.5,Pasture
3331,2,0,0.20000000000000001,Pasture
3337,2,0,0.29999999999999999,Pasture
3338,4,0,0.69999999999999996,Pasture
3341,2,0,0.80000000000000004,Pasture
3345,2,0,0.5,Pasture
3346,2,0,0.20000000000000001,Pasture
3349,2,0,0.40000000000000002,Pasture
3350,4,0,0.5,Pasture
3351,3,0,0.5,Pasture
3353,2,0,0.5,Annual
3355,3,0,0.29999999999999999,Perennial
3356,5,0,0.40000000000000002,Perennial
3420,4,0,1.5,Annual
3421,2,0,2.5,Pasture
3426,2,0,0.29999999999999999,Pasture
3429,2,0,0.29999999999999999,Pasture
3432,2,0,0.29999999999999999,Pasture
3437,2,0,0.40000000000000002,Pasture
3438,2,0,0.5,Pasture
3439,2,0,0.5,Pasture
3440,2,0,0.5,Pasture
3441,4,0,1,Pasture
3442,2,0,0.40000000000000002,Pasture
3443,2,0,0.5,Pasture
3444,2,0,0.40000000000000002,Pasture
3445,2,0,0.5,Pasture
3446,2,0,0.5,Pasture
3447,2,0,0.29999999999999999,Pasture
3449,3,0,0.80000000000000004,Pasture
3450,4,0,0.29999999999999999,Annual
3452,2,0,0.40000000000000002,Pasture
3453,2,0,0.29999999999999999,Pasture
3454,2,0,0.5,Pasture
3455,4,0,0.40000000000000002,Pasture
3501,5,0,0.5,Annual
3502,4,0,1.5,Pasture
3504,4,0,1.2,Scrub
3505,5,0,0.5,Annual
3506,4,0,0.5,Annual
3512,3,0,0.29999999999999999,Pasture
3513,2,0,0.5,Pasture
3514,2,0,0.5,Pasture
3515,4,0,0.29999999999999999,Pasture
3516,2,0,0.10000000000000001,Pasture
3517,2,0,0.20000000000000001,Pasture
3518,2,0,0.20000000000000001,Pasture
3520,2,0,0.40000000000000002,Pasture
3521,2,0,0.40000000000000002,Pasture
3524,2,0,0.90000000000000002,Pasture
3527,2,0,0.69999999999999996,Pasture
3529,2,0,0.5,Pasture
3531,2,0,0.20000000000000001,Pasture
3532,2,0,0.29999999999999999,Pasture
3534,2,0,0.5,Pasture
3539,2,0,0.20000000000000001,Pasture
3541,2,0,0.40000000000000002,Pasture
3544,2,0,0.29999999999999999,Pasture
3550,2,0,0.40000000000000002,Pasture
3554,2,0,0.29999999999999999,Pasture
3557,2,0,0.40000000000000002,Pasture
3558,2,0,0.20000000000000001,Pasture
3559,2,0,0.20000000000000001,Pasture
3561,2,0,0.40000000000000002,Pasture
3564,2,0,0.29999999999999999,Pasture
3565,2,0,0.40000000000000002,Pasture
3566,2,0,0.29999999999999999,Pasture
3570,2,0,0.29999999999999999,Pasture
3571,2,0,0.20000000000000001,Pasture
3572,2,0,0.20000000000000001,Pasture
3573,2,0,0.40000000000000002,Pasture
3574,2,0,0.40000000000000002,Pasture
3575,2,0,0.40000000000000002,Pasture
3576,2,0,0.20000000000000001,Pasture
3577,2,0,0.20000000000000001,Pasture
3578,2,0,0.10000000000000001,Pasture
3580,4,0,0.20000000000000001,Pasture
3581,3,0,0.40000000000000002,Pasture
3582,2,0,0.20000000000000001,Pasture
3583,3,0,0.59999999999999998,Pasture
3584,2,0,0.29999999999999999,Pasture
3587,2,0,0.20000000000000001,Pasture
3588,2,0,0.20000000000000001,Pasture
3590,2,0,0.5,Pasture
3591,2,0,0.10000000000000001,Pasture
3592,2,0,0.20000000000000001,Pasture
3594,2,0,0.20000000000000001,Pasture
3596,2,0,0.29999999999999999,Pasture
3597,2,0,0.10000000000000001,Pasture
3598,2,0,0.10000000000000001,Pasture
3599,2,0,0.20000000000000001,Pasture
3601,2,0,0.80000000000000004,Pasture
3603,2,0,0.20000000000000001,Pasture
3604,2,0,0.40000000000000002,Pasture
3605,3,0,0.80000000000000004,Pasture
3606,3,0,0.80000000000000004,Pasture
3610,2,0,0.5,Pasture
3611,2,0,0.40000000000000002,Pasture
3614,2,0,0.5,Pasture
3615,3,0,0.5,Pasture
3616,2,0,0.40000000000000002,Pasture
3617,2,0,0.5,Pasture
3618,2,0,3,Pasture
3619,2,0,0.80000000000000004,Pasture
3621,2,0,0.20000000000000001,Pasture
3623,2,0,0.59999999999999998,Pasture
3624,2,0,0.5,Pasture
3631,2,0,1,Pasture
3635,2,0,1,Pasture
3636,2,0,0.69999999999999996,Pasture
3638,2,0,0.20000000000000001,Pasture
3639,2,0,0.20000000000000001,Pasture
3640,2,0,0.10000000000000001,Pasture
3641,2,0,0.10000000000000001,Pasture
3642,2,0,0.10000000000000001,Pasture
3643,4,0,0.10000000000000001,Pasture
3645,2,0,0.20000000000000001,Pasture
3646,2,0,0.20000000000000001,Pasture
